taxon_id	order	scientific_name	massg	diet	realm	gisfrag_high	high_hfp_change_high	high_hfp_change_medium_unsuitable	high_hfp_extent_high	high_hfp_extent_medium_unsuitable	gisfrag_medium_unsuitable	proportion_high	gestation_length	weaning_age	trans_first_last
41437	Eulipotyphla	Suncus infinitesimus	3	Omnivore	Afrotropical	626.4535431	0.11777374	0.047043848	98.36294502	98.91107329	2108.457028	45.05732303	22.48494	27.366985	Low-risk
41438	Eulipotyphla	Suncus lixus	4.9	Omnivore	Afrotropical	941.0871363	3.917079215	7.146604675	90.05765072	82.81089999	1102.164623	58.78912154	24.18000933	25.11844	Low-risk
41440	Eulipotyphla	Suncus murinus	61.5	Omnivore	Indomalayan	3721.803093	1.347164126	1.425006165	96.25393315	95.01612824	1205.491758	93.9789144	30.19	19.16	Low-risk
41441	Eulipotyphla	Suncus stoliczkanus	9.4	Omnivore	Indomalayan	831.9139593	0.00083375	0	99.95497749	99.48750162	11954.77138	9.391214721	23.64336	22.99505	Low-risk
41442	Eulipotyphla	Suncus varilla	5	Omnivore	Afrotropical	1814.439927	0.488249791	0.583608045	94.56421944	95.83141357	2078.311825	49.06028168	23.78054333	25.47508	Low-risk
41443	Eulipotyphla	Sylvisorex granti	4	Omnivore	Afrotropical	954.1079224	0.111498258	0.462037962	87.728223	91.01523477	1170.998325	47.47659128	34.544255	31.3265915	Low-risk
41444	Eulipotyphla	Sylvisorex johnstoni	3.2	Omnivore	Afrotropical	1594.24489	6.092303874	2.969428056	68.2075139	85.43531411	5680.418285	62.90637089	22.820015	26.57736	Low-risk
41445	Eulipotyphla	Sylvisorex lunaris	18.5	Omnivore	Afrotropical	813.6191977	0	0.006637021	90.84687767	98.04207872	3295.446823	23.60293984	26.36974	23.71231	High-risk
41446	Eulipotyphla	Suncus megalura	4.7	Omnivore	Afrotropical	1118.811282	4.4286473	1.660881115	90.95359828	94.4314226	2718.277229	48.8165386	32.10899	25.100065	Low-risk
41447	Eulipotyphla	Crocidura nigripes	13.2	Omnivore	Australasian	902.0788693	0	0.011257712	100	99.35155582	1721.589246	43.95836503	22.92913333	23.81323	Low-risk
41448	Eulipotyphla	Diplomesodon pulchellum	11	Omnivore	Palearctic	13168.7687	1.834819867	0.602985182	94.7262499	83.10019108	3911.703075	86.79199758	23.673836	23.36528	Low-risk
41449	Eulipotyphla	Scutisorex somereni	91.5	Vertebrate carnivore	Afrotropical	2106.801234	20.20467027	5.648966398	66.33949898	92.40374339	2227.909588	71.16170395	41.93234	38.32584817	Low-risk
41450	Eulipotyphla	Anourosorex squamipes	20	Invertebrate carnivore	Indomalayan|Palearctic	637.8765897	0.562744865	0.166418652	91.94141042	97.9566775	2253.751075	28.17368906	35.31475083	31.0690915	Low-risk
41451	Eulipotyphla	Blarina brevicauda	28	Omnivore	Nearctic	1320.6341	0	0	81.42918065	95.44618417	1492.605926	55.84617073	20.58	21.91	Low-risk
41452	Eulipotyphla	Blarina carolinensis	13.5	Omnivore	Nearctic	1566.203033	0	0	98.90723008	94.47631214	600.9939817	81.54456664	22.88017333	24.06941	Low-risk
41453	Eulipotyphla	Blarina hylophaga	14.5	Omnivore	Nearctic	1061.353218	0	0	99.58315946	99.87481817	521.3041938	60.81519584	23	30	Low-risk
41454	Eulipotyphla	Megasorex gigas	20	Omnivore	Neotropical	936.2202034	0.689033892	0.734567446	88.87685041	90.32377019	1729.860212	54.65906354	26.08479	23.33598	Low-risk
41455	Eulipotyphla	Nectogale elegans	32.5	Omnivore	Indomalayan|Palearctic	710.6532847	0.399356514	0.799019497	91.60786859	87.08737685	16438.99103	12.71587464	36.89969	27.98885817	Low-risk
